term,times_used,keep (yes/no),example_original,example_parakeet,example_qwen
--arb-*-light,1,,"After switching from controlling-track-merging to --arb-*-light, things improved.","After switching from controlling track merging to dash dash up light, things improved.","After switching from controlling track merging to dash dash art light, things improved."
--arb-function-dark,2,,The build_libpng integration with --arb-function-dark is seamless.,To build Liban integration with dash dash orb function dark is seamless.,The build LibVim integration with dashdashrb function dark is seamless.
--arb-function-light,1,,The --arb-function-light library is really good.,The dash dash r function light library is really good.,The dash dash r function library is really good.
--arb-string-dark,1,,I'm using --arb-string-dark and Says together.,I'm using dash dash arb string dark and says together.,I'm using dash dash arp string dark and says together.
--arb-string-light,1,,The combination of Output and --arb-string-light works well.,The combination of output and dash dash arb string light works well.,The combination of output and dash dash arbo string light works well.
--bench,1,,I'm using --traceconv-binary and --bench together.,I'm using dash dash tracecomb binary and dash dash bench together.,I'm using dash dash trace combiner and dash dash bench together.
--bin,1,,Make sure --bin is in your Cargo.toml.,Make sure dash dash bin is in your cargo tunnel.,Make sure dash dash bin is in your cargo.
--block,1,,I just upgraded --block to the latest version.,I just upgraded dash dash block to the latest version.,I just upgraded Dash Dash Block to the latest version.
--block-client-timeout,2,,Let me check the --block-client-timeout documentation.,Let me check the dash dash block client timeout documentation.,Let me check the dash dash block client timeout documentation.
--buffer,1,,"I set up --buffer, T-U-R-F, and Suppose in the pipeline.",I set up dash dash buffer the U R F and suppose in the pipeline.,"I set up dash dash buffer, DURF, and suppose in the pipeline."
--cfg,1,,We use --cfg for the frontend and re-stage for the backend.,We use dash dash CFG for the front end and restage for the back end.,"We use
dash dash EFG for the front end and restage for the back end."
--codex,1,,The --codex crate provides what we need.,The dash dash codex crate provides what we need.,The dash-dash codec crate provides what we need.
--commit,1,,Can you check if Utility is compatible with --commit?,Can you check if utility is compatible with dash dash commit?,Can you check if utility is compatible with dashdash commit?
--completions,1,,The --completions integration with Malloc is seamless.,The dash dash confusions integration with Malloc is seamless.,The dash dash Confessions integration with Nalox is seamless.
--css-classes,1,,"After switching from i-th to --css-classes, things improved.","After switching from iTh to dash dash S classes, things improved.","After switching from Ith to dash dash SS classes, things improved."
--current-parent,1,,I'm using --current-parent and Attr together.,I'm using dash dash current parent and after together.,I'm using dash dash current parent and after together.
--data,1,,"After configuring macro_export with --data, I also added Latency.","After configuring macro export with dash dash data, I also added latency.","After configuring macro export with dash dash div, I also added latency."
--debug-graph,1,,The --debug-graph module uses TP_PROTO under the hood with TP-Managed for acceleration.,The Dash Well Graph module uses T P P R O T O under the hood with T P managed for acceleration.,The dashboard graph module uses TPPROT0 under the hood with TP managed for acceleration.
--disable-selinux,2,,The combination of corpus-input and --disable-selinux works well.,The combination of corpus input and dash dash disable Selenux works well.,The combination of corpus input and dashdash disable selenium works well.
--dropbox,1,,Can you add --dropbox to the dependencies?,Can you add dash dash drop box to the dependencies?,Can you add dash dash Dropbox to the dependencies?
--dump-at-max,1,,"The project depends on --dump-at-max, Cmdline, and facet-macros-.","The project depends on dash dash numb at max, cm in line and facet macros.","The project depends on dashdashdump at max, cm inline, and facet macros."
--edition,1,,We're migrating away from --edition.,We're migrating away from dash dash edition.,We're migrating away from dash dash edition.
--enable-relay-endpoint,1,,"I set up Batch, --enable-relay-endpoint, and linked_image_base in the pipeline.",I set up batch dash dash enable relay endpoint and link to image base in the pipeline.,I set a batch dash enable relay endpoint and linked image base in the pipeline.
--end-y,2,,You need both --end-y and Rollback for this.,You need both dash dash and y and rollback for this.,You need both dash dash ny and rollback for this.
--explain,1,,I wrote a wrapper around --explain.,I wrote a wrapper around dash dash explain.,I wrote a wrapper around dash dash explain.
--export-compile-commands,1,,The Under-caching module uses --export-compile-commands under the hood with my-crate for acceleration.,The undercaching module uses dash dash export compile commands under the hood with my crate for acceleration.,The under-caching module uses dash-dash export compile commands under the hood with my crate for acceleration.
--ext,1,,I'm using line-based and --ext together.,I'm using line based and dash dash x together.,I'm using line based and dash dash ex together.
--features,1,,The Protos module uses ts_set_allocator under the hood with --features for acceleration.,The Protose module uses TS set allocator under the hood with dash dash features for acceleration.,The Protos module uses TSSet allocator under the hood with dash dash features for acceleration.
--file,2,,The thread_info integration with --file is seamless.,The thread info integration with dash dash file is seamless.,The thread in full integration with dash dash file is seamless.
--fix,1,,Can you add --fix to the dependencies?,Can you add dash dash fix to the dependencies?,Can you add dash dash fix to the dependencies?
--full-sort,1,,The --full-sort integration with NonNewline is seamless.,The dash dash full sort integration with non new line is seamless.,The dash-dash full sort integration with non newline is seamless.
--full-stack,1,,Can you check if Full is compatible with --full-stack?,Can you check if full is compatible with dash dash full stack?,Can you check if Full is compatible with Dash Dash Full Stack?
--grammar,1,,We use --grammar for the frontend and right-most for the backend.,We use dash dash grammar for the front end and write most for the back end.,We use dash dash grammar for the front end and rightmost for the back end.
--gtest_filter,1,,The first_service module uses Optimization under the hood with --gtest_filter for acceleration.,The first service module uses optimization under the hood with dash dash g test filter for acceleration.,The first service module uses optimization under the hood with dash dashg test filter for acceleration.
--gtest_help,1,,Let me check the --gtest_help documentation.,Let me check the dash dash test help documentation.,Let me check the dash dash test help documentation.
--horizontal,1,,I configured --horizontal to output UserFail format.,I configure dash dash horizontal to output user fail format.,I configured dash dash horizontal to output user fail format.
--http-port,1,,We use line-height for the frontend and --http-port for the backend.,We use line height for the front end and dash dash H T P port for the back end.,We use line height for the front end and dash dash HTTP port for the back end.
--in-place,1,,"The project depends on --in-place, is-reference, and git-active.",The project depends on dash dash in place is reference and get active.,The project depends on dashdashinplace is referenced and getactive.
